name,region
Margilan city,Fergana
Altiariq district,Fergana
Rishtan district,Fergana
Soʼx district,Fergana
Toshloq district,Fergana
Uchkuprik district,Fergana
Uzbekistan district,Fergana
Fergana district,Fergana
Fergana city,Fergana
Furqat district,Fergana
Bagat district,Khorezm
Gurlan district,Khorezm
Koshkopir district,Khorezm
Urgench district,Khorezm
Urgench city,Khorezm
Khiva district,Khorezm
Khazarasp district,Khorezm
Xonqa district,Khorezm
Shavot district,Khorezm
Yangiariq district,Khorezm
Yangibazar district,Khorezm
Bektimer district,Tashkent city
M.Ulugbek district,Tashkent city
Mirabad district,Tashkent city
Almazar district,Tashkent city
Sergeli district,Tashkent city
Uchtepa district,Tashkent city
Yashnabad district,Tashkent city
Chilanzar district,Tashkent city
Shayhantahur district,Tashkent city
Yunusabad district,Tashkent city
Yakkasaray district,Tashkent city
New Hayot district,Tashkent city
Takhiatash city,Karakalpakstan
Asaka city,Andijan
Bandikhan district,Surkhandarya
Ahangaron city,Tashkent region
Yangiyul city,Tashkent region
Tashkent district,Tashkent region
Khiva city,Khorezm
City of friendship,Khorezm
Toprakkala district,Khorezm
